代碼,面向,重大議題,重點定義 (人工編碼參考_已調整),關聯關鍵字 (人工編碼參考_已調整),完整定義 (大型語意模型用_尚未修正)
F0001,經濟,財務風險,財務風險是指投資者或企業在財務活動中可能遭受的損失風險 ，因此財務風險管理旨在識別、評估和控制各種可能導致財務損失的風險 ，以確保公司財務的安全和穩定。,財務風險 /  整體財務風險 / 財產損失風險 / 財務決策風險 / 財務槓桿風險 / 財務管理風險 / 財務投資風險 / 財務運作風險 / 財務結構風險 / 財務危機風險,"財務風險指投資者或企業在財務活動過程中,可能遭受損失的風險,包括信用風險、市場風險、流動性風險等。財務風險管理是指識別、評估和控制這些風險,確保財務活動的可持續性和安全性。（ㄧ）信用風險：客戶或借款人未能按時還款或完全違約的風險。（二）市場風險：由於市場價格（如股票價格、利率、匯率等）波動而導致的風險。（三）流動性風險：在需要資金時無法及時獲得現金或變現資產的風險。"
F0002,經濟,法規風險,法規風險是指企業因未能遵守法律法規而遭受的損失，包括處罰、賠償責任、合約失效和營運中斷等，這些風險可能來自新法規的頒布、法規解釋變更或執法不一致。,政策法規風險/法遵風險/法律風險/交易過程法律風險/ 法律與訴訟風險/法律合規風險/違法風險/法務風險/法律變動風險/法律政策風險,"法規風險是指企業在經營活動中,因未能及時瞭解並遵守有關法律、法規而導致的各種法律後果和損失,包括面臨處罰、賠償責任、合約失效、營運中斷等。這些法規風險可能來自於新法規的頒布、解釋的變更,或因為法規不明確或執法不一致而帶來的風險。（一）處罰：因違反法律法規而被罰款或其他處罰。（二）賠償責任：因違反合同條款而需賠償合同相對方的經濟損失等。（三）合約失效：合約中包含違反現行法律法規的條款，導致合約無效等。（四）營運中斷：因違反法規被政府下令暫停營業，進行整改或調查等。"
F0003,經濟,市場風險,市場風險是指因市場價格變動而造成的損失風險，影響市場價格變動的因子除商品價格外，還包括利率、匯率、股價等。,市場風險/ 營運策略市場風險/ 市場變動風險 / 市場競爭風險/ 行銷市場風險/ 市場需求劇變風險/ 金融市場風險/ 市場開發風險/ 整體市場風險/市場營運風險/ 市場價格風險,市場風險是指因市場價格（如利率、匯率、股價和商品價格) 變動而造成資產負債表內外部位可能產生損失的風險。（ㄧ）利率風險：市場利率變動影響企業的借貸成本和投資回報。（二）匯率風險：外匯交易中的匯率變動導致即期交易和未來交易損失。（三）股價風險：企業持有的股票價格變動影響其資產價值。（四）商品價格風險：企業所需原材料價格變動影響生產成本和盈利能力。
F0004,經濟,營運風險,營運風險是指企業在日常運作中面臨突然中斷的各種潛在威脅，如：經營權轉換、法規遵從、營運季節性波動或系統故障，這些風險可能對企業的收益和聲譽造成負面影響。,營運持續性風險/營運中斷風險/營運管理風險/經營風險/企業營運風險/營運安全風險/營運資金週轉風險 / 經營權風險,"營運風險指企業在營運過程中遇到的各種風險,例如經營權轉換、遵循法令與否、營運淡旺季、系統故障等。這些風險可能會影響企業的收益或聲譽。（ㄧ）遵循法令與否：是否符合監管機構對特定行業或操作的規定和要求。（二）營運淡旺季：如何因應淡旺季變化以維持穩定收入、淡旺季變化對供應鏈管理和庫存成本的影響。（三）系統故障：系統故障導致業務運營的暫停或中斷情況。"
F0005,經濟,資訊安全風險,資訊安全風險是指對組織資訊安全造成損害或影響的可能性，包括：技術疏失、人為疏失、和自然災害。,資訊安全風險/資安風險/數位資訊安全風險/資訊系統管理風險/網路安全風險/病毒入侵風險,資訊安全風險是指由於外部或內部因素對組織資訊安全造成損害或影響的可能性，涉及機密性、完整性和可用性等方面。資訊安全風險的類型包括技術性風險（如系統漏洞）、人為風險（如員工疏忽）和自然災害風險（如火災或水災）。（ㄧ）技術性風險：軟體或硬體中存在的安全漏洞，可能被攻擊者利用來進行未授權的訪問或操作。病毒、勒索軟件等惡意軟件攻擊，對系統和數據造成威脅。（二）人為風險：內部人員有意或不當行為導致的資訊安全威脅，如故意洩露機密信息或破壞系統。（三）自然災害風險：如地震、颱風等自然災害對資訊基礎設施的不利影響。
F0006,經濟,信用風險,信用風險指的是借款人或交易對象因財務狀況惡化或其他因素無法還款，讓債權人可能蒙受損失的風險。,信用風險/客戶信用風險/信譽風險/違約風險/誠信風險,信用風險是指借款人或交易對象因企業本身體質惡化或其他因素，導致無法履行還款義務，造成債權人可能蒙受損失的風險。影響信用風險程度的原因，包括：（ㄧ）借款人之財務狀況：債務償付能力（如利息保障倍數、債務覆蓋率）。（二）經營環境與行業風險：市場需求和產品或服務的可替代性。（三）歷史信用記錄：過去的還款紀錄和違約事件。（四）突發事件：企業內部的重大變動，如高層管理人員變動。（五）契約條款：資金用途的明確性和合規性。 
F0007,經濟,匯率風險,匯率風險是指因匯率變動影響投資或貿易，使外幣計價的資產或貸款價值波動的風險，如：匯率波動影響進出口成本和收益、政策變動影響匯率、匯率變動影響海外市場銷售，以及外幣資產在財報中的價值變動。,匯率風險/匯率的變動風險/匯兌風險/外匯風險/匯兌損失風險/外匯合約規避風險,匯率風險( Foreign Exchange Rate Risk )，是指投資人在投資海外證券，或是廠商在進行對外貿易期間，因為匯率發生變動，以致在投資到期或交易完成貸款收付時，以外幣計價的證券價值或貸款價值跟著發生變動的風險，稱為匯率風險。（ㄧ）交易風險：匯率波動影響進出口商品的成本和收益。（二）市場和政策風險：匯率政策的變動（如政府干預和匯率制度的改變）。（三）經濟風險：匯率變動影響企業在海外市場的銷售和市場佔有率等。(四)折算風險：外幣資產和負債在財務報表中的價值變動。
F0008,經濟,利率風險,利率風險是指利率變動對投資造成的損失。利率上升時，債券價格下降；利率下降時，債券價格上升。具體包括：長期債券價格波動、再投資收益率變動、收益率曲線變動、央行利率決策、信用利差變動和宏觀經濟變化的影響。,利率風險/利率的變動風險/利率敏感性風險/資金利率風險/流動性及結構性利率風險/銀行薄利率風險/利率上漲風險/,利率風險是指利率變動可能對投資組合造成的損失。當利率上升時，債券價格通常會下降，這會導致投資者蒙受損失。反之，當利率下降時，債券價格通常會上升，這會為投資者帶來收益。（一）價格風險：長期債券對利率變動更為敏感，價格波動更大。（二）再投資風險：當利率下降時，到期債券的本金和利息再投資時的收益率降低而當利率上升時，再投資的收益率提高，但現有債券價格下降。（三）收益率曲線風險（四）基準利率風險：央行利率決策對市場利率的影響。（五）信用利差風險：信用風險高的債券對利率和信用利差的變動更為敏感。（六）宏觀經濟風險：經濟增長、就業率、消費支出等宏觀經濟指標的變化對利率的影響。
F0009,經濟,流動性風險,流動性風險是指企業有資金需求時，無法以合理價格將資產轉換為現金，或無法以合理價格借入資金來償還債務的風險，如：市場上資產難以快速賣出、短期內難以借到資金、資金來源過於集中。,流動性風險/企業流動性風險/市場流動性風險/資金流動性風險/現金流流動性風險/流動調度風險,流動性風險是指企業無法在有資金需要時，以合理價格將資產轉換為現金，或無法以合理價格借入資金來償還到期債務的風險。（一）市場流動性風險：資產在市場上難以快速賣出或是市場交易量低導致價格波動加大。（二）融資流動性風險：金融機構難以在短期內借到資金、借貸市場流動性收縮（三）資金集中風險：資金來源過於集中在少數投資者或機構。
F0010,經濟,產業變動風險,產業變動風險是指因企業所處的產業，受整體產業經營環境的外部因素所影響，如：經濟周期波動、技術創新、氣候變遷、消費者需求變化以及政府政策和法規變更等，對公司所處產業產生衝擊。,科技改變及產業變化風險/產業變動風險/產業環境風險/環境變化風險 / 新型競爭者風險,產業變動風險是指因國內外經濟因素、科技、環境及消費型態的變動所導致對公司經營產業的衝擊。（一）經濟因素：國內外經濟周期的變動（如經濟衰退或繁榮）（二）科技變遷：新技術的出現和應用（三）環境因素：氣候變遷對產業的影響（四）消費型態變化：消費者偏好和需求的轉變（五）政策和法規變動：政府政策和產業法規的變更。
